show_id,type,title,director,cast,country,release_year,rating,duration,genres
s1515,Movie,Nawabzaade,Jayesh Pradhan,"Raghav Juyal, Dharmesh Yelande, Punit Pathak, Isha Rikhi, Sanjeeda Sheikh",India,2018,13+,110 min,"Comedy, International"
s1572,Movie,Mumbai Pune Mumbai 3,Satish Rajwade,"Swapnil Joshi, Mukta Barve, Prashant Damle, Mangal Kenkre, Vijay Kenkre, Savita Prabhune",India,2018,13+,139 min,"Comedy, Drama, International"
s1574,Movie,Muklawa,Simerjit Singh,"Ammy Virk, Sonam Bajwa, Gurpreet Ghuggi, BN Sharma, Karamjit Anmol, Sarbjit Cheema",India,2019,13+,111 min,"Comedy, Drama, International"
s1580,Movie,Mr. Imperium,Don Hartman,"Debbie Reynolds, Lana Turner, Englo Pinza, Marjorie Main, Barry Sullivan",United States,1951,13+,87 min,Drama
s1581,Movie,Mr. Family Man,Kreeti Gogia,Praveen Kumar,India,2020,16+,55 min,"Arts, Entertainment, and Culture, Comedy"
s1626,Movie,Monster,Nelson Venkatesan,"SJ Surya, Priya Bhavani Shankar, Karunakaran, Anil Kumar",India,2019,ALL,138 min,"Comedy, Drama"
s1650,Movie,Missing,Mukul Abhyankar,"Tabu, Manoj Bajpayee, Annu Kapoor",India,2018,13+,120 min,"International, Suspense"
s1677,Movie,Middle Class Melodies,Vinod Anantoju,"Anand Deverakonda, Varsha Bollamma, Chaitanya, Divya Drishti",India,2020,16+,136 min,"Comedy, Drama"
s1703,Movie,MCA (Middle Class Abbayi),Venu Sriram,"Nani, Sai Pallavi, Bhumika Chawla",India,2017,13+,138 min,"Drama, International"
s1707,Movie,Maximum Ride,Jay Martin,"Allie Marie Evans, Patrick Johnson, Lyliana Wray, Luke Gregory Crosby, Gavin Lewis",United States,2016,PG-13,88 min,"Action, Science Fiction"
s1715,Movie,Mathu Vadalara,Ritesh Rana,"Sri Simha Koduri, Athulya Chandra, Vennela Kishore, Satya Akkala, Naresh Agastya",India,2019,16+,129 min,Drama
s1784,Movie,Luv Ka The End,Bumpy,"Taaha Shah, Shraddha Kapoor, Riya Bamniyal, Sreejita De, Micky Makhija, Rahul Pardasany, Ali Zafar, Archana Puran Singh, Pushtiie S., Meherzan B. Mazda, Jannat Zubair Rahmani, Errol Peter Marks, Neha Gehlot, Lavanya Jain, Shenaz Treasuryvala, Arjun Sablok, Mahabanoo Mody Kotwal",India,2011,18+,107 min,"Comedy, Drama, International"
s1797,Movie,"Love, Kennedy",T.C. Christensen,"Jasen Wade, Heather Beers, Tatum Chiniquy",United States,2017,PG,92 min,Faith and Spirituality
s1800,Movie,Love Simple,Mark von Sternberg,"Francisco Solorzano, Patrizia Hernandez, Israel Horovitz, Caitlin Fitzgerald, John Harlacher",United States,2011,16+,86 min,Drama
s1898,Movie,LAW,Raghu Samarth,"Ragini Prajwal, Mukhyamantri Chandru, Sudharani, Achyuth Kumar, Avinash, Rajesh Nataranga, Krishna Hebbale, Mandya Ramesh, Nagaraj Murthy, Siri Prahlad, Madhu Hegde, Likhitesh, Imran Pasha",India,2020,16+,120 min,Suspense
s1922,Movie,KROOS (4K UHD),Manfred Oldenburg,"Toni Kroos, Jessica Kroos, Felix Kroos, Gareth Bale, Casemiro, Luka Modrić, Florentino Pérez, Sergio Ramos, José Ángel Sánchez, Pep Guardiola, Jupp Heynckes, Uli Hoeneß, Miroslav Klose, Joachim Löw, Matthias Sammer, Zinédine Zidane, Sascha Breese, Dirk Hebel, Volker Struth, Marcel Reif, Robbie Williams",Germany,2019,G,114 min,"Documentary, Special Interest"
s1923,Movie,KROOS,Manfred Oldenburg,"Toni Kroos, Jessica Kroos, Felix Kroos, Gareth Bale, Casemiro, Luka Modrić, Florentino Pérez, Sergio Ramos, José Ángel Sánchez, Pep Guardiola, Jupp Heynckes, Uli Hoeneß, Miroslav Klose, Joachim Löw, Matthias Sammer, Zinédine Zidane, Sascha Breese, Dirk Hebel, Volker Struth, Marcel Reif, Robbie Williams",Germany,2019,13+,114 min,"Documentary, Special Interest"
s1931,Movie,Knights of Badassdom,Joe Lynch,"Ryan Kwanten, Peter Dinklage, Steve Zahn",United States,2014,R,86 min,"Action, Comedy, Fantasy"
s1956,Movie,Kesari,Anurag Singh,"Akshay Kumar, Parineeti Chopra, Suvinder Vicky",India,2019,16+,153 min,"Action, Drama, Historical"
s1966,Movie,Kapatadhaari (4K UHD),Pradeep Krishnamoorthy,"Sumanth, Nanditha Swetha, Nasser, JP",India,2021,13+,137 min,Suspense
s1967,Movie,Kapatadhaari,Pradeep Krishnamoorthy,"Sumanth, Nanditha Swetha, Nasser, JP",India,2021,NR,137 min,Suspense
s1971,Movie,Kalank,Abhishek Varman,"Varun Dhawan, Alia Bhatt, Madhuri Dixit, Aditya Roy Kapoor, Sonakshi Sinha, Sanjay Dutt",India,2019,13+,166 min,"Drama, International, Romance"
s1974,Movie,Kadaikutty Singam,Pandiraj,"Karthi, Sayyeshaa, Sathyaraj, Priya Bhavani Shankar, Arthana Vijayakumar, Soori",India,2018,ALL,148 min,"Action, Adventure, Drama"
s1977,Movie,Kabadadaari (4K UHD),Pradeep Krishnamoorthy,"Sibi Sathyaraj, Nanditha Swetha, Nasser, JP",India,2021,16+,137 min,Suspense
