show_id,type,title,director,cast,country,release_year,rating,duration,genres
s3376,Movie,A Year in Champagne,David Kennard,Martine Saunier,"United States, France",2015,13+,82 min,"Documentary, Special Interest"
s3377,Movie,A Year in Burgundy,David Kennard,Martine Saunier,"United States, France",2013,13+,89 min,"Documentary, Special Interest"
s3406,Movie,A Mighty Heart,Michael Winterbottom,"Angelina Jolie, Dan Futterman, Irrfan Khan, Archie Panjabi, Will Patton, Jillian Armenante, Denis O'Hare, Demetri Goritsas, Kimberly Ensey, Jacob Gaffney","United States, United Kingdom",2007,18+,108 min,Drama
s3419,Movie,A Girl Like Her,Amy S. Weber,"Hunter King, Lexi Ainsworth, Jimmy Bennett",United States,2013,16+,92 min,Drama
s3444,Movie,9/11 Phone Calls from the Towers,James Kent,Steven Mackintosh,United Kingdom,2009,16+,74 min,"Documentary, Special Interest"
s3466,Movie,36 Husbands,Michael Glover,"Christa Pasch, Roberta Bianchini, Nadine Nourney, Dominic Anglim, Howard Corlett, Tony Moore, Felix Kosse, Michael Glover, Robyn Rosenkrantz",United States,2020,13+,83 min,Comedy
s3562,Movie,102 Not Out,Umesh Shukla,"Amitabh Bachchan, Rishi Kapoor, Jimit Trivedi",India,2018,13+,104 min,"Comedy, Drama"
s3585,Movie,The Real Inglorious Bastards,Min Sook Lee,"Robert Nolan, Patrick O'Donnell, Fred Mayer, Gerald Schwab, John Billings, Ani Weber, Manfred Weber, Steve Shand, Erik Markewich, Sean Connolly Affleck, Shawn Devlin, Owen Bevan, Maarik Pinkney, Ben Davidson, Linzee Barclay",Canada,2012,13+,52 min,Documentary
s3588,Movie,The Mothman of Point Pleasant,Seth Breedlove,"Lyle Blackburn, Jeff Wamsley",United States,2017,13+,67 min,"Documentary, Drama, Horror"
s3591,Movie,The Lighthouse,Robert Eggers,"Willem Dafoe, Robert Pattinson, Valeriia Karaman","Canada, United States, Brazil",2019,R,109 min,"Drama, Horror"
s3592,Movie,The Goldfinch,John Crowley,"Ansel Elgort, Oakes Fegley, Aneurin Barnard, Finn Wolfhard, Ashleigh Cummings, Willa Fitzgerald, Aimee Laurence, Sarah Paulson, Luke Wilson, Jeffrey Wright, Nicole Kidman, Denis O'Hare, Boyd Gaines, Peter Jacobson, Luke Kleintank, Robert Joy",United States,2019,R,149 min,Drama
s3596,Movie,The Big Sick,Michael Showalter,"Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano, Anupam Kher",United States,2017,R,120 min,"Comedy, Drama, Romance"
s3620,Movie,Midnight Crossing,Roger Holzberg,"Faye Dunaway, Daniel J. Travanti, Kim Cattrall, John Laughlin, Ned Beatty",United States,1988,R,97 min,Suspense
s3621,Movie,Maara,Dhilip Kumar,"R.Madhavan, Shraddha Srinath, Sshivada, Mouli, Alexander Babu, M.S.Bhaskar, Guru Somasundaram, Kishore, Abhirami",India,2021,13+,150 min,Romance
s3641,Movie,"Don't Worry, He Won't Get Far on Foot",Gus Van Sant,"Joaquin Phoenix, Jonah Hill, Rooney Mara, Jack Black","France, United States",2018,R,114 min,"Arthouse, Comedy, Drama"
s3676,Movie,Never Surrender: A Galaxy Quest Documentary,Jack Bennett,"Sigourney Weaver, Tim Allen, Sam Rockwell, Justin Long, Tony Shalhoub, Rainn Wilson, Enrico Colantoni, Brent Spiner, Wil Wheaton, Damon Lindelof, Greg Berlanti",United States,2019,13+,87 min,"Documentary, Science Fiction, Special Interest"
s3691,Movie,Blood Fest,Owen Egerton,"Robbie Kay, Seychelle Gabriel, Jacob Batalon, Tate Donovan, Zachary Levi",United States,2018,18+,93 min,Horror
s3697,Movie,Anbirkiniyal,Gokul,"Keerthi Pandian, Arun Pandian, Praveen Raja",India,2021,ALL,123 min,"Drama, Suspense"
s3713,Movie,Tumhari Sulu,Suresh Triveni,"Vidya Balan, Neha Dhupia, Manav Kaul, Vijay Maurya, Santanu Ghatak, Malishka Mendonsa, Vibhawari Deshpande, Abhishek Sharrma, Seema Taneja, Sindhu Shekharan, Trupti Khamkar, Siddhaanth Samant, Uday Lagoo",India,2017,ALL,139 min,"Comedy, Drama, International"
s3737,Movie,The Last Black Man in San Francisco,Joe Talbot,"Jimmie Fails, Jonathan Majors, Danny Glover, Finn Wittrock, Tichina Arnold, Rob Morgan, Mike Epps",United States,2019,R,121 min,Drama
s3740,Movie,The Identical,Dustin Marcellino,"Ray Liotta, Ashley Judd, Seth Green, Joe Pantoliano, Blake Rayne, Erin Cottrell, Brian Geraghty, Amanda Crew",United States,2014,PG,107 min,Drama
s3741,Movie,The Hiding Place,James F. Collier,"Julie Harris, Jeannette Clift, Eileen Heckart, Arthur O'Connell",United States,1975,13+,146 min,Drama
s3749,Movie,The Busy Little Engine,Desmond Mullen,"Desmond Mullen, Pig, Busy Little Engine, Lorrie Guess",United States,2007,ALL,34 min,"Animation, Kids"
s3763,Movie,Srinivasa Kalyanam,Satish Vegesna,"Nithin, Raashi Khanna, Nandita Swetha",India,2018,ALL,139 min,"Drama, International"
s3772,Movie,Shubh Mangal Zyada Saavdhan,Hitesh Kewalya,"Ayushmann Khurrana, Jitendra Kumar, Gajraj Rao, Neena Gupta, Manu Rishi Chadha, Maanvi Gagroo, Sunita Rajwar",India,2020,16+,118 min,"Comedy, International, LGBTQ"
s3778,Movie,Satyameva Jayate,Milap Zaveri,"John Abraham, Manoj Bajpayee, Aisha Sharma, Amruta Khanvilkar, Manish Chaudhary",India,2018,18+,140 min,"Action, Adventure, International"
s3784,Movie,Resurrection of Jake The Snake,Steve Yu,"Jake the Snake Roberts, Diamond Dallas Page, Steve Yu, Steve Austin, Adam Copeland, Jim Ross, Scott Hall, Gene Okerland, Dustin Rhodes",United States,2015,16+,97 min,"Documentary, Sports"
s3788,Movie,Raatchasi,Sy Gowthamraj,"Jyotika, Poornima Bhagyaraj, Satyan, Hareesh Peradi",India,2019,ALL,133 min,"Drama, International, Kids"
s3789,Movie,Putham Pudhu Kaalai,"Sudha Kongara, Gautham Vasudev Menon, Suhasini Mani Ratnam, Rajiv Menon, Karthik Subbaraj","Jayaram, Oorvasi, Kalidas Jayaram,  Kalyani Priyadarshan,  M S Baaskar,  Ritu Varma,  Shruti Haasan,  Suhasini Mani Ratnam,  Anu Hasan,  Kathadi Ramamurthy,  Komalam Charuhasan,  Andrea Jeremiah,  Gurucharan C,  Leela Samson,  Simha,  Sharath Ravi,  K Muthukumar",India,2020,16+,129 min,Drama
s3792,Movie,Primal Rage,Patrick Magee,"Andrew Joseph Montgomery, Casey Gagliardi, Eloy Casados, Marshal Hilton, Justin Rain",United States,2018,R,106 min,"Drama, Horror, Suspense"
s3795,Movie,Painted Horses,Damian X. Fulton,"Madelyn Deutch, Linc Hand, Deana Carter, Terri Minton, Kendall Ryan Sanders, Grace Fulton",United States,2017,13+,92 min,Drama
s3809,Movie,Mitron,Nitin Kakkar,"Jackky Bhagnani, Kritika Kamra, Prateek Gandhi, Neeraj Sood",India,2018,13+,116 min,"Comedy, International"
s3818,Movie,Mardaani 2,Gopi Puthran,"Rani Mukerji, Vishal Jethwa, Sumit Nijhawan, Shruti Bapna, Vikram Singh Chauhan, Deepika Amin, K.C.Shankar, Rajesh Sharma, Jishu Sengupta, Avneet Kaur",India,2019,13+,103 min,"Action, Drama, Suspense"
s3820,Movie,Maharshi,Vamshi Paidipally,"Mahesh Babu, Allari Naresh, Pooja Hegde","India, United States",2019,7+,177 min,"Action, Drama, International"
s3846,Movie,It's A Wonderful Life (Black & White Version),Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi",United States,1946,13+,131 min,Drama
s3879,Movie,Evaru,Venkat Ramji,"Adivi Sesh, Regina Cassandra, Naveen Chandra",India,2019,13+,115 min,"Drama, International"
s3885,Movie,Durgamati - The Myth,Ashok G.,"Bhumi Pednekar, Arshad Warsi, Jisshu Sengupta, Mahie Gill, Karan Kapadia",India,2020,16+,156 min,"Horror, Suspense"
s3886,Movie,Driving Licence,Jean Paul Lal,"Prithviraj Sukumaran, Suraj Venjaramood, Deepti Sati, Miya George",India,2019,13+,133 min,Drama
s3889,Movie,Dead Space: Aftermath,Mike Disa,"Christopher Judge, Gwendoline Yeo, Peter Woodward, Ricardo Chavira",United States,2011,ALL,78 min,"Animation, Suspense"
s3897,Movie,Coolie No. 1 (4K UHD),David Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Javed Jaffery, Rajpal Yadav, Sahil Vaid, Johny Lever, Shikha Talsania, Vikas Verma, Anil Dhawan, Manoj Joshi, Bharti Achrekar",India,2020,13+,135 min,"Comedy, Drama"
s3905,Movie,Can We Take a Joke?,Ted Balaker,"Gilbert Gottfried, Penn Jillette, Adam Carolla, Lisa Lampanelli, Jim Norton, Heather McDonald, Karith Foster, Christina Pazsitzky",United States,2016,13+,75 min,"Arthouse, Arts, Entertainment, and Culture, Comedy"
s3921,Movie,Asuran,Vetrimaaran,"Dhanush, Manju Warrier, Ken Karunas, Teejay Arunasalam, Pasupathy, Prakash Raj, Ammu Abirami, Balaji Sakthivel",India,2019,18+,139 min,"Action, Drama, International"
s3922,Movie,Assault on Wall Street,Uwe Boll,"Dominic Purcell, Erin Karpluk, Edward Furlong","Canada, United States",2013,R,99 min,"Action, Suspense"
s3947,Movie,Tumbbad,"Rahi Anil Barve, Adesh Prasad","Sohum Shah, Jyoti Malshe, Dhundhiraj Prabhakar Jogalekar, Anita Date, Deepak Damle","India, Sweden",2018,18+,105 min,"Horror, International, Suspense"
s3953,Movie,The Aeronauts,Tom Harper,"Felicity Jones, Eddie Redmayne, Himesh Patel, Tom Courtenay","United Kingdom, United States",2019,PG-13,100 min,"Adventure, Drama, Romance"
s3956,Movie,Peterloo,Mike Leigh,"Rory Kinnear, Maxine Peake, Neil Bell, Philip Jackson, Vincent Franklin, Karl Johnson, Tim McInnerny",United Kingdom,2019,PG-13,154 min,Drama
s3960,Movie,My Dad's Christmas Date,Mick Davis,"Jeremy Piven, Olivia Mai Barrett, Hadar Cats, Megan Brown Martinez, Roger Aston-Griffiths, Nathalie Cox, Joely Richardson",United Kingdom,2020,13+,91 min,Comedy
s3973,Movie,Fanney Khan,Atul Manjrekar,"Aishwarya Rai Bachchan, Anil Kapoor, Rajkummar Rao, Divya Dutta, Swati Semwal",India,2018,13+,129 min,"Arts, Entertainment, and Culture, Comedy, Drama"
s3975,Movie,Chhalaang (4K UHD),Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuchaa",India,2020,13+,136 min,"Comedy, Drama"
s3998,Movie,Seberg,Benedict Andrews,"Kristen Stewart, Jack O’Connell, Margaret Qualley, Zazie Beetz, Yvan Attal, Stephen Root, Colm Meany, Vince Vaughn, Anthony Mackie","United Kingdom, United States",2020,R,103 min,"Drama, Suspense"
s4036,Movie,Archive,Gavin Rothery,"Theo James, Stacy Martin, Rhona Mitra","United Kingdom, Hungary, United States",2020,16+,109 min,"Arts, Entertainment, and Culture, Fantasy, Science Fiction"
s4047,Movie,The Wall,Doug Liman,"Aaron Taylor-Johnson, John Cena, Laith Nakli",United States,2017,R,90 min,"Drama, Military and War, Suspense"
s4057,Movie,Manhunt: Search for the Night Stalker,Bruce Seth Green,"Richard Jordan, A Martinez, Julie Carmen, Alan Feinstein, Lisa Eilbacher, Soon-Tek Oh",United States,1989,16+,95 min,"Documentary, Suspense"
s4067,Movie,Gulabo Sitabo,Shoojit Sircar,"Amitabh Bachchan, Ayushmann Khurrana, Farrukh Jafar, Vijay Raaz, Brijendra Kala, Srishti Shrivastava",India,2020,16+,125 min,International
s4133,Movie,Ninnu Kori,Shiva Nirvana,"Nani, Nivetha Thomas, Aadhi Pinisetty",India,2017,ALL,136 min,"Drama, International, Romance"
s4136,Movie,Milk Money,Richard Benjamin,"Ed Harris, Melanie Griffith, Michael Patrick Carter, Malcolm McDowell, Philip Bosco, Anne Hesch, Casey Siemaszko, Brian Christopher, Adam LaVorgna, Kevin Scannell",United States,1994,PG-13,109 min,"Adventure, Comedy, Drama"
s4172,Movie,Alex James: Slowing Down Fast Fashion,Ben Akers,Alex James,"United Kingdom, France, United States",2016,7+,65 min,"Documentary, Special Interest"
s4184,Movie,Time,Garrett Bradley,"Fox Rich, Rob G. Rich",United States,2020,PG-13,81 min,Documentary
s4200,Movie,Dudes & Dragons,"Maclain Nelson, Stephen Shimek","James Marsters, Kaitlin Doubleday, Luke Perry, Adam Johnson",United States,2016,13+,114 min,"Action, Adventure, Fantasy"
s4211,Movie,Andy Murray: Resurfacing (4K UHD),Olivia Cappuccini,Andy Murray,United Kingdom,2019,16+,109 min,Documentary
s4214,Movie,Ye Re Ye Re Paisa 2,Hemant Dhome,"Sanjay Narvekar, Aniket Vishwasrao, Priyadarshan Jadhav, Mrinmayee Godbole, Anand Ingle, Prasad Oak, Mrinal Kulharni",India,2019,13+,134 min,"Drama, International"
s4232,Movie,Sharknado 2: The Second One,Anthony C. Ferrante,"Ian Ziering, Vivica A. Fox, Mark McGrath, Kari Wuhrer, Tara Reid",United States,2014,13+,91 min,"Action, Horror"
s4240,Movie,Next,Lee Tamahori,"Nicolas Cage, Julianne Moore, Jessica Biel, Thomas Kretschmann, Tory Kittles, Peter Falk, Michael Trucco, Jim Beaver, Jos Ziga, Enzo Cilenti",United States,2007,PG-13,96 min,"Action, Suspense"
s4243,Movie,Little Secrets,Blair Treu,"Evan Rachel Wood, Michael Angarano, David Gallagher, Vivica Fox",United States,2002,PG,97 min,"Drama, Young Adult Audience"
s4255,Movie,Double Dragon,James Yukich,"Scott Wolf, Mark Dacascos, Robert Patrick, Alyssa Milano, Kristina Wagner, Julia Nickson, Nils Allen Stewart, Vanna White, Andy Dick","United States, France, Denmark",1994,PG-13,96 min,"Action, Adventure, Comedy"
s4259,Movie,Boyz 2,Vishal Devrukhkar,"Kishori Ambiye, Parth Bhalerao, Onkar Bhojane, Rohit Chavan, Sharvari Jamenis, Suvarna Kale, Soham Kalokhe, Yatin Karyekar",India,2018,18+,140 min,"Comedy, International"
s4262,Movie,47 Meters Down: Uncaged (4K UHD),Johannes Roberts,"Sophie Nélisse, Nia Long, Corinee Foxx, Brianne Tju, Sistine Stallone, Davi Santos, Khylin Rhambo, Brec Bassinger, John Corbett","United Kingdom, United States",2019,PG-13,90 min,"Action, Adventure, Drama"
s4266,Movie,Wounded by the wind,Juan Carlos Rubio,"Dani Muriel, Kiti Mánver",Spain,2021,13+,75 min,"Arthouse, Drama, LGBTQ"
s4269,Movie,The Rape of Nanking,"Anne Pick, Bill Spahic","Olivia Cheng, Huang Shi Jia, Fang Jun Xiang, Pang Jin Feng, Jillian Rees-Brown",Canada,2007,13+,55 min,"Documentary, Special Interest"
s4273,Movie,Reaching For The Moon,Bruno Barreto,"Miranda Otto, Glória Pires",Brazil,2014,16+,114 min,"LGBTQ, Romance"
s4286,Movie,Historias lamentables,Javier Fesser,"Pol López, Fernando Sansegundo, Chani Martín, Laura Gómez-Lacueva, Alberto Castrillo-Ferrer",Spain,2020,13+,130 min,Comedy
s4289,Movie,Garnet's Gold,Ed Perkins,Garnet Frost,United Kingdom,2019,13+,76 min,Documentary
s4295,Movie,Biswa Kalyan Rath: Sushi,Siddharth Vasani,Biswa Kalyan Rath,India,2019,16+,60 min,Comedy
s4301,Movie,World Trade Center,Oliver Stone,"Nicolas Cage, Maria Bello, Jay Hernandez, Jon Bernthal, Michael Peña, Maggie Gyllenhaal, Michael Shannon, Stephen Dorff",United States,2006,PG-13,129 min,"Drama, Suspense"
s4302,Movie,Wonderstruck,Todd Haynes,"Julianne Moore, Oakes Fegley, Millicent Simmonds, Jaden Michael, Cory Michael Smith, Tom Noonan, Michelle Williams",United States,2017,PG,115 min,"Drama, Kids"
s4305,Movie,We Were Children,Tim Wolochatiuk,"Rene Batson, Taya Ayotte Bourns, Alice Dano, Justin Ducharme",Canada,2012,13+,83 min,Drama
s4307,Movie,The Pollinators,Peter Nelson,"Bret Adee, Jack Algiere, Jeff Anderson, Alan Ard, Dan Barber, Leigh-Kathryn Bonner, Zak Browning, Glenn Card, Steve CLarke, Lucas Criswell, William Criswell, James Frazier PhD, Maryann Frazier, Christina Grozinger PhD, Dave Hackenberg, Davey Hackenberg, Bob Harvey, Neil Hinish, Susan Kegley PhD, Jonathon Lundgren PhD, Bill McKibben, Jeffrey Pettis PhD, Samuel Ramsey PhD",United States,2020,13+,93 min,Documentary
s4317,Movie,Never Grow Old,Ivan Kavanagh,"John Cusack, Emile Hirsch, Déborah François","Ireland, Belgium, France, Luxembourg, United Kingdom",2019,R,100 min,"Action, Adventure, Western"
s4321,Movie,It's A Wonderful Life,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi",United States,1946,PG,131 min,"Drama, Fantasy"
s4344,Movie,Aeon Flux,Karyn Kusama,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Pete Postlethwaite","United States, Germany, Brazil, Italy",2005,PG-13,93 min,"Action, Science Fiction"
s4352,Movie,Alison,Uga Carlini,"Christia Visser, Alison Botha, Zak Hendrikz, Francois Maree, De Klerk Oelofse",South Africa,2017,16+,60 min,"Documentary, Special Interest"
s4358,Movie,Trust Me,Andrew Kazamia,"Craig Ferguson, Shelley Long, Winter Ave Zoli, Cory Pendergast, Enn Reitel",United States,2007,18+,97 min,Comedy
s4359,Movie,The Priest,Jofin T. Chacko,"Mammootty, Nikhila Vimal, Manju Warrier",India,2021,NR,145 min,"Horror, Suspense"
s4363,Movie,Sultan,Ali Abbas Zafar,"Amit Sadh, Randeep Hooda, Salman Khan","United States, India",2016,13+,169 min,"Drama, International, Romance"
s4374,Movie,Nocturne,Zu Quirke,"Sydney Sweeney, Madison Iseman, Jacques Colimon, Ivan Shaw",United States,2020,16+,90 min,Suspense
s4384,Movie,"Jeff, Who Lives at Home","Jay Duplass, Mark Duplass","Jason Segel, Ed Helms, Judy Greer, Susan Sarandon, Rae Dawn Chong, Evan Ross",United States,2012,R,83 min,"Comedy, Drama"
s4398,Movie,Beta,Indra Kumar,"Anil Kapoor, Madhuri Dixit, Aruna Irani, Anupam Kher, Totaram, Satyendra Kapoor, Bharti Achrekar",India,1992,13+,158 min,"Drama, Romance"
s4410,Movie,Plato's Reality Machine,Myles Sorensen,"Trieste Kelly Dunn, Mackenzie Davis, Doug Roland, Carolina Bartczak, Ed Renninger, Heather Shisler, Nathan Spiteri",United States,2013,18+,79 min,Science Fiction
s4438,Movie,Officer,Ram Gopal Varma,"Nagarjuna Akkineni, Myra Sareen",India,2018,13+,116 min,"Action, Drama, International"
s4443,Movie,Jade,William Friedkin,"David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna, Kevin Tighe, Michael Biehn",United States,1995,R,95 min,"Drama, Suspense"
s4452,Movie,"Cryptopia: Bitcoin, Blockchains, and the Future of the Internet","Torsten Hoffmann, Michael Watchulonis","Torsten Hoffman, Vitalik Buterin, Andreas M. Antonopoulos, Charlie Lee, Preethi Kasireddy, Laura Shin, Vinny Lingham, Samson Mow, Roger Ver","Australia, United States, Germany",2020,13+,87 min,Documentary
s4458,Movie,Uncle Frank,Alan Ball,"Paul Bettany, Sophia Lillis, Peter Macdissi, Judy Greer, Steve Zahn, Lois Smith, Margo Martindale, Stephen Root",United States,2020,R,95 min,"Comedy, Drama, LGBTQ"
s4470,Movie,Chemical Hearts,Richard Tanne,"Lili Reinhart, Austin Abrams",United States,2020,R,93 min,Drama
s4474,Movie,7500,Patrick Vollrath,"Joseph Gordon-Levitt, Omid Memar, Carlo Kitzlinger, Aylin Tezel, Murathan Muslu, Paul Wollin, Aurélie Thépaut, Passar Hariky, Denis Schmidt, Max Schimmelpfennig, Anna Suk","Germany, Austria, United States",2020,R,93 min,"Drama, Suspense"
s4481,Movie,Pataakha,Vishal Bhardwaj,"Sanya Malhotra, Radhika Madan, Sunil Grover, Vijay Raaz",India,2018,18+,131 min,"Comedy, Drama"
s4497,Movie,Anu Menon: Wonder Menon,Naveen Kumar M.N.,Anu Menon,India,2019,16+,69 min,"Arts, Entertainment, and Culture"
s4499,Movie,Raabta,Dinesh Vijan,"Kriti Sanon, Sushant Singh Rajput, Deepika Padukone, Rajkummar Rao, Jim Sarbh, Varun Sharma, Nidhi Subbaiah",India,2017,13+,144 min,"Drama, International, Romance"
s4506,Movie,Saina,Amole Gupte,"Parineeti Chopra, Manav Kaul, Meghna Malik, Shubhrajyoti Barat",India,2021,ALL,134 min,"Drama, Sports"
s4508,Movie,Nene Raju Nene Mantri,Teja,"Rana Daggubati, Kajal Aggarwal, Catherine Tresa",India,2017,13+,151 min,"Drama, International"
s4558,Movie,Roberrt (4K UHD),Tarun Sudhir,"Vinod Prabhakar, Asha Bhat, Jagapathi Babu, Sreedhar Rao Chennamaneni, Amit Shivdas Nair, Sridhar Rao, Cockroach Sudhi, Darshan Thoogudeep",India,2021,NR,165 min,Action
s4559,Movie,Roberrt,Tarun Sudhir,"Vinod Prabhakar, Asha Bhat, Jagapathi Babu, Sreedhar Rao Chennamaneni, Amit Shivdas Nair, Sridhar Rao, Cockroach Sudhi, Darshan Thoogudeep",India,2021,NR,165 min,Action
s4578,Movie,Late Night,Nisha Ganatra,"Emma Thompson, Mindy Kaling, John Lithgow, Paul Walter Hauser, Reid Scott, Amy Ryan",United States,2019,R,102 min,"Comedy, Drama"
s4594,Movie,Crown Heights,Matt Ruskin,"Ron Canada, Nestor Carbonell, Natalie Paul, Amari Cheatom, Lakeith Stanfield, Marsha Stephanie Blake, Zach Grenier, Bill Camp, Josh Pais, Yul Vazquez",United States,2017,R,100 min,Drama
s4602,Movie,Available,Les Mahoney,"Les Mahoney, Jana Podlipna, Paul Dean, Atoy Wilson, Gerold Wunstel, Mattea D'Amore, Leslie Eckl, Petra Herz",United States,2016,13+,73 min,"Action, Drama, Suspense"
s4610,Movie,Winter Warrior,Robbie Moffat,"James Watson, Victoria Pritchard, Ilaria D'Elia, Jon Paul Gates, Ian Stirling",United Kingdom,2003,16+,91 min,"Action, Adventure, Drama"
s4613,Movie,Rohan Joshi: Wake N Bake,Angshuman Ghosh,Rohan Joshi,India,2019,16+,57 min,Comedy
s4621,Movie,Adithya Varma,Gireesaaya,"Dhruv Vikram, Banita Sandhu, Priya Anand, Anbu",India,2019,18+,165 min,"Drama, International"
s4624,Movie,Wajah Tum Ho,Vishal Pandya,"Sana Khaan, Sharman Joshi, Zarine Khan, Sherlyn Chopra, Rajneesh Duggal, Gurmeet Choudhary, Prarthana Behere",India,2016,18+,131 min,"International, Suspense"
s4628,Movie,Teraa Surroor,Shawn Arranha,"Himesh Reshammiya, Farah Karimaee, Naseeruddin Shah, Shekhar Kapur, Shernaz Patel, Monica Dogra, Kabir Bedi, Suneel Dutt, Graham Molloy, Ann Marie O'Connor, Richard O'Leary, Warren Renwick, Degnan Geraghty, Maneesh Chandra Bhatt, Abhishek Duhan",India,2016,13+,100 min,"Action, Drama, Romance"
s4630,Movie,Simran,Hansal Mehta,"Kangana Ranaut, Sohum Shah, Esha Tewari, Jason Louder, Aneesha Joshi, Mark Justice, Rupinder Nagra, Catherine Dyer, James Cole, Robin Dyke, Alexander Garganera, Timothy Ryan Hickernell, Manda Lee, Yajhayra Maria, Rusty Meyers, Robert Mitchel Owenby, Albert Roberts, Rich Robertson, Jeff Rose, Manesh k Singh",India,2017,13+,124 min,"Comedy, Drama"
s4631,Movie,Sarbjit,Omung Kumar,"Randeep Hooda, Aishwarya Rai Bachchan, Richa Chadha, Darshan Kumar, Shiwani Saini, Ankita Shrivastav, Ankur Bhatia, Arbaaz Ali Khan, Ram Murti Sharma, Charanpreet Singh, Trishaan Singh",India,2016,13+,126 min,"Drama, International"
s4634,Movie,Noor,Sunhil Sippy,"Sonakshi Sinha, Purab Kohli, Kanan Gill, Shibani Dandekar, Gareth Lawrence, Yulian Shchukin",India,2017,13+,116 min,"Action, Comedy, Drama"
s4637,Movie,Junooniyat,Vivek Agnihotri,"Pulkit Samrat, Yami Gautam, Hrishitaa Bhatt, Aneesha Joshi, Taran Bajaj, Manoj Bakshi, Madhuri D. Bandiwedkar, Manann Dania, Gulshan Devaiah, Jaquiline Garewal, Gurpreet Kaur, Ravi Khemu, Sanjay Mehandiratta, Anoop Singh, Herry Tangiri, Khushboo Upadhyay",India,2016,ALL,122 min,"Drama, International, Romance"
s4639,Movie,Hindi Medium,Saket Chaudhary,"Irrfan Khan, Saba Qamar, Neha Dhupia, Amrita Singh, Deepak Dobriyal, Sanjana Sanghi, Rajesh Sharma, Tillotama Shome, Vijay Kumar Dogra, Sumit Gulati, Swati Das, Delzad Hiwale, Taran Bajaj, Angad Dev Dogra, Sanjay Suri, Rajiv Gupta, Charu Shankar, Mallika Dua, Fasih Safwi, Jaspal Sharma",India,2017,ALL,132 min,"Comedy, Drama, International"
s4640,Movie,Chef,Raja Menon,"Saif Ali Khan, Padmapriya, Dhanish Karthik, Ram Gopal Bajaj, Riju Bajaj, Pawan Chopra, Sobhita Dhulipala, Raghu Dixit, Svar Kamble, Michael Kelberg, Meghan Lane, Lynn Marocola, Jack Ricardo Miller, Shayan Munshi, Russell Peters, Dinesh Prabhakar, Chandan Roy Sanyal, Neha Saxena, Milind Soman, Tanya Thompson",India,2017,13+,131 min,"Comedy, Drama, International"
s4641,Movie,Bhoomi,Omung Kumar,"Sanjay Dutt, Aditi Rao Hydari, Sharad Kelkar, Shekhar Suman, Rahul Verma Rajput, Sidhant Gupta, Riddhi Sen, Puru Chibber, Sunny Leone",India,2017,13+,133 min,"Action, Drama, International"
s4648,Movie,Mumbai Saga,Sanjay Gupta,"John Abraham, Emraan Hashmi, Mahesh Manjrekar, Suniel Shetty, Kajal Agarwal, Pratiek Babbar, Gulshan Grover, Amole Gupte, Rohit Bose Roy",India,2021,18+,126 min,"Action, Drama"
s4680,Movie,Ameluk - based on a story which could be true,Mimmo Mancini,"Rosanna Banfi, Paolo Sassanelli, Mehdi Mahdloo Torkaman, Mimmo Mancini, Claudia Lerro, Cosimo Cinieri, Francesca Giaccari, Dante Marmone, Roberto Nobile, Luigi Angiuli, Nadia Kibout, Pascal Zullino, Hedy Krissane, Miloud Mourad Benamara, Michele De Virgilio, Massimo Bagnasco",Italy,2015,13+,98 min,Comedy
s4684,Movie,The Transporter Refueled,Camille Delamarre,"Ed Skrein, Ray Stevenson, Loan Chabanol, Gabriella Wright","France, China, Belgium, Monaco",2015,PG-13,96 min,Action
s4693,Movie,Manchester by the Sea,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges, Gretchen Mol, Matthew Broderick",United States,2016,R,137 min,Drama
s4706,Movie,Zaki Chan,Wael Ihsan,"Ahmed Helmy, Yasmin Abdulaziz",Egypt,2005,7+,109 min,"Comedy, Romance"
s4719,Movie,Rock On,Abhishek Kapoor,"Arjun Rampal, Farhan Akhtar, Luke Kenny, Purab Kohli, Prachi Desai, Shahana Goswami, Koel Purie, Nicolette Bird",India,2008,ALL,145 min,"Arts, Entertainment, and Culture, Drama, International"
s4723,Movie,Mike Case in: The Big Kiss Off,Justin Baird,"Les Mahoney, Debra Mayer, Devai Pearce, Atoy Wilson, Dale Shane, Erica Juliet (Ocampo), Suniil Sadarangani, Scott Ganyo, William Mitchell",United States,2013,18+,74 min,"Comedy, Suspense"
s4727,Movie,Karwaan,Akarsh Khurana,"Irrfan Khan, Mithila Palkar, Dulquer Salmaan, Kriti Kharbanda",India,2018,13+,114 min,"Comedy, Drama, International"
s4734,Movie,Confessions of an Action Star,Brad Martin,"Lin Shaye, Daniel Bernhardt, Michael T. Weiss","United States, Austria",2009,13+,87 min,"Action, Comedy, Documentary"
